KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
3201,1,盛岡市,,0,,,289731,136919,152812,131110
32010010,2,盛岡市,内丸,0,,,207,93,114,130
32010020,3,盛岡市,中央通,0,,,2456,1108,1348,1418
3201002001,4,盛岡市,中央通一丁目,0,,,359,155,204,208
3201002002,4,盛岡市,中央通二丁目,0,,,659,311,348,334
3201002003,4,盛岡市,中央通三丁目,0,,,1438,642,796,876
32010040,3,盛岡市,大通,0,,,783,376,407,472
3201004001,4,盛岡市,大通一丁目,0,,,36,17,19,19
3201004002,4,盛岡市,大通二丁目,0,,,31,21,10,22
3201004003,4,盛岡市,大通三丁目,0,,,716,338,378,431
32010070,3,盛岡市,菜園,0,,,385,177,208,243
3201007001,4,盛岡市,菜園一丁目,0,,,121,65,56,88
3201007002,4,盛岡市,菜園二丁目,0,,,264,112,152,155
32010090,3,盛岡市,大沢川原,0,,,1295,656,639,857
3201009001,4,盛岡市,大沢川原一丁目,0,,,166,79,87,112
3201009002,4,盛岡市,大沢川原二丁目,0,,,496,250,246,276
3201009003,4,盛岡市,大沢川原三丁目,0,,,633,327,306,469
32010120,2,盛岡市,開運橋通,0,,,647,292,355,442
32010130,3,盛岡市,本町通,0,,,4637,2136,2501,2741
3201013001,4,盛岡市,本町通一丁目,0,,,1551,663,888,911
3201013002,4,盛岡市,本町通二丁目,0,,,1133,538,595,672
3201013003,4,盛岡市,本町通三丁目,0,,,1953,935,1018,1158
32010160,2,盛岡市,長田町,0,,,1078,513,565,616
32010170,2,盛岡市,材木町,0,,,1164,605,559,867
32010180,2,盛岡市,梨木町,0,,,665,289,376,367
32010190,2,盛岡市,愛宕町,0,,,1068,486,582,495
32010200,2,盛岡市,名須川町,0,,,1234,596,638,662
32010210,3,盛岡市,北山,0,,,1527,713,814,722
3201021001,4,盛岡市,北山一丁目,0,,,748,342,406,378
3201021002,4,盛岡市,北山二丁目,0,,,779,371,408,344
32010231,3,盛岡市,上田,0,,,5308,2653,2655,3289
3201023101,4,盛岡市,上田一丁目,0,,,1624,785,839,928
3201023102,4,盛岡市,上田二丁目,0,,,1072,544,528,695
3201023103,4,盛岡市,上田三丁目,0,,,1431,745,686,889
3201023104,4,盛岡市,上田四丁目,0,,,1181,579,602,777
32010232,3,盛岡市,上田,0,,,924,501,423,254
3201023201,4,盛岡市,上田字小鳥沢,0,,,14,5,9,6
3201023202,4,盛岡市,上田字松屋敷,0,,,494,314,180,113
3201023203,4,盛岡市,上田字東黒石野,0,,,103,55,48,42
3201023204,4,盛岡市,上田字黒岩,0,,,84,38,46,31
3201023205,4,盛岡市,上田字宇登坂長根,0,,,97,47,50,36
3201023206,4,盛岡市,上田字狐崎稲荷,0,,,48,23,25,18
3201023207,4,盛岡市,上田字上堤頭,0,,,60,8,52,1
3201023208,4,盛岡市,上田字稲荷窪,0,,,11,4,7,3
3201023209,4,盛岡市,上田字狐森,0,,,11,6,5,3
3201023210,4,盛岡市,上田字北山,0,,,2,1,1,1
32010270,2,盛岡市,西下台町,0,,,1546,776,770,939
32010280,2,盛岡市,館向町,0,,,1989,1078,911,1254
32010290,3,盛岡市,高松,0,,,6595,3281,3314,3539
3201029001,4,盛岡市,高松一丁目,0,,,1133,544,589,591
3201029002,4,盛岡市,高松二丁目,0,,,2130,1141,989,1358
3201029003,4,盛岡市,高松三丁目,0,,,1281,620,661,563
3201029004,4,盛岡市,高松四丁目,0,,,2051,976,1075,1027
32010332,3,盛岡市,山岸,0,,,286,118,168,105
3201033201,4,盛岡市,山岸字外山岸,0,,,138,66,72,50
3201033202,4,盛岡市,山岸字大平,0,,,83,34,49,35
3201033203,4,盛岡市,山岸字洞清水下,0,,,29,15,14,10
3201033204,4,盛岡市,山岸字名乗,0,,,4,1,3,1
3201033205,4,盛岡市,山岸字庚申下,0,,,29,1,28,7
3201033206,4,盛岡市,山岸字合間,0,,,-,-,-,-
3201033207,4,盛岡市,山岸字銭神沢下,0,,,3,1,2,2
32010333,3,盛岡市,山岸,0,,,5913,2741,3172,2534
3201033301,4,盛岡市,山岸一丁目,0,,,796,368,428,372
3201033302,4,盛岡市,山岸二丁目,0,,,975,464,511,409
3201033303,4,盛岡市,山岸三丁目,0,,,1112,493,619,487
