罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野２丁目,2021/6/5,14,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野２丁目,2021/10/22,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,向中野４丁目,2021/6/23,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮５丁目,2021/9/19,6,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮７丁目,2021/8/3,18,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,おおみや,32018,岩手県,盛岡市,本宮７丁目,2021/9/2,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田１丁目,2021/4/21,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田１丁目,2021/5/21,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2019/10/1,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/3/5,8,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/4/21,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/4/23,16,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/5/21,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/7/2,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡東,上田,32018,岩手県,盛岡市,上田３丁目,2021/7/13,13,その他,駐車（輪）場,20歳代,大学生,施錠せず
